"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_900087465.1","GCF_900087475.1","GCF_900087485.1","GCF_900087495.1","GCF_900087505.1","GCF_900087515.1","GCF_900087535.1","GCF_900087545.1","GCF_900087575.1","GCF_900087585.1","GCF_900087595.1","GCF_900087665.1","GCF_900087695.1","GCF_900087755.1","GCF_900087765.1","GCF_900087825.1","GCF_900087835.1","GCF_900087845.1","GCF_900087885.1","GCF_900087925.1"
"group_1344","","hypothetical protein","20","20","1","4","9","","","","524","524","524","BJDFHBJJ_00170","FHFNEIGL_01564","NPNHHEFA_00166","EKGGEFJM_00163","IPCEDBCE_00334","BPLIIOBE_00176","LAKMDKJD_00167","HCNCMENI_00165","ABPCLIDI_00266","DPDPODFO_00005","GEBNMNOD_00189","FPOKCNBF_00087","JPMNGIHJ_01473","IENJPBOG_01177","EKEBIHOE_00218","KADELANJ_00716","NDKHHKNJ_00811","PDJHNNAA_00908","PHDCEHKO_00138","OOEMJHNJ_00371"
"colC","","GDP-L-colitose synthase","20","20","1","5","157","","","","932","932","932","BJDFHBJJ_00373","FHFNEIGL_00328","NPNHHEFA_01032","EKGGEFJM_00381","IPCEDBCE_00074","BPLIIOBE_00099","LAKMDKJD_00374","HCNCMENI_00368","ABPCLIDI_00151","DPDPODFO_00718","GEBNMNOD_01365","FPOKCNBF_00202","JPMNGIHJ_00012","IENJPBOG_00195","EKEBIHOE_00495","KADELANJ_01420","NDKHHKNJ_01168","PDJHNNAA_00492","PHDCEHKO_01387","OOEMJHNJ_00322"
"group_1346","","hypothetical protein","20","20","1","1","563","","","","860","860","860","BJDFHBJJ_01380","FHFNEIGL_01268","NPNHHEFA_01283","EKGGEFJM_00402","IPCEDBCE_00560","BPLIIOBE_00557","LAKMDKJD_01349","HCNCMENI_00674","ABPCLIDI_01107","DPDPODFO_00175","GEBNMNOD_00598","FPOKCNBF_00906","JPMNGIHJ_00639","IENJPBOG_00526","EKEBIHOE_00552","KADELANJ_00833","NDKHHKNJ_00885","PDJHNNAA_01158","PHDCEHKO_00969","OOEMJHNJ_00631"
"group_1347","","hypothetical protein","20","20","1","2","31","","","","386","386","386","BJDFHBJJ_01212","FHFNEIGL_01038","NPNHHEFA_01085","EKGGEFJM_01164","IPCEDBCE_01210","BPLIIOBE_01204","LAKMDKJD_01163","HCNCMENI_01149","ABPCLIDI_00546","DPDPODFO_01509","GEBNMNOD_00495","FPOKCNBF_01166","JPMNGIHJ_00982","IENJPBOG_00039","EKEBIHOE_00720","KADELANJ_00126","NDKHHKNJ_00299","PDJHNNAA_01311","PHDCEHKO_00374","OOEMJHNJ_00475"
"group_1348","","hypothetical protein","20","20","1","2","79","","","","1982","1982","1982","BJDFHBJJ_00587","FHFNEIGL_00678","NPNHHEFA_00572","EKGGEFJM_00763","IPCEDBCE_00941","BPLIIOBE_00967","LAKMDKJD_01053","HCNCMENI_00863","ABPCLIDI_01413","DPDPODFO_01380","GEBNMNOD_00732","FPOKCNBF_00391","JPMNGIHJ_00710","IENJPBOG_00589","EKEBIHOE_01309","KADELANJ_01269","NDKHHKNJ_01004","PDJHNNAA_00347","PHDCEHKO_00540","OOEMJHNJ_01269"
"vapD_2","","Endoribonuclease VapD","20","20","1","3","88","","","","287","287","287","BJDFHBJJ_00990","FHFNEIGL_00923","NPNHHEFA_00953","EKGGEFJM_01059","IPCEDBCE_01106","BPLIIOBE_01087","LAKMDKJD_01110","HCNCMENI_00476","ABPCLIDI_00627","DPDPODFO_00898","GEBNMNOD_01144","FPOKCNBF_00497","JPMNGIHJ_01194","IENJPBOG_01265","EKEBIHOE_00305","KADELANJ_00464","NDKHHKNJ_00384","PDJHNNAA_00960","PHDCEHKO_00050","OOEMJHNJ_01385"
"group_1350","","hypothetical protein","20","20","1","4","97","","","","1313","1313","1313","BJDFHBJJ_00034","FHFNEIGL_00034","NPNHHEFA_00033","EKGGEFJM_00033","IPCEDBCE_00204","BPLIIOBE_00306","LAKMDKJD_00033","HCNCMENI_00034","ABPCLIDI_00870","DPDPODFO_00077","GEBNMNOD_00279","FPOKCNBF_00158","JPMNGIHJ_00909","IENJPBOG_00952","EKEBIHOE_00777","KADELANJ_00542","NDKHHKNJ_00184","PDJHNNAA_00176","PHDCEHKO_01430","OOEMJHNJ_00031"
"hspR","","Putative heat shock protein HspR","20","20","1","3","218","","","","371","371","371","BJDFHBJJ_00889","FHFNEIGL_00578","NPNHHEFA_00746","EKGGEFJM_00959","IPCEDBCE_00817","BPLIIOBE_00721","LAKMDKJD_00907","HCNCMENI_01040","ABPCLIDI_01343","DPDPODFO_01302","GEBNMNOD_00972","FPOKCNBF_01479","JPMNGIHJ_00809","IENJPBOG_01050","EKEBIHOE_01065","KADELANJ_00914","NDKHHKNJ_00514","PDJHNNAA_01409","PHDCEHKO_00190","OOEMJHNJ_01047"
"group_1352","","hypothetical protein","20","20","1","4","102","","","","557","557","557","BJDFHBJJ_00039","FHFNEIGL_00038","NPNHHEFA_00037","EKGGEFJM_00037","IPCEDBCE_00208","BPLIIOBE_00302","LAKMDKJD_00037","HCNCMENI_00038","ABPCLIDI_00874","DPDPODFO_00073","GEBNMNOD_00283","FPOKCNBF_00154","JPMNGIHJ_00913","IENJPBOG_00956","EKEBIHOE_00773","KADELANJ_00538","NDKHHKNJ_00188","PDJHNNAA_00180","PHDCEHKO_01426","OOEMJHNJ_00027"
"group_1353","","hypothetical protein","20","20","1","1","431","","","","1415","1415","1415","BJDFHBJJ_00468","FHFNEIGL_01490","NPNHHEFA_00357","EKGGEFJM_00549","IPCEDBCE_00720","BPLIIOBE_00626","LAKMDKJD_00562","HCNCMENI_00560","ABPCLIDI_00929","DPDPODFO_00396","GEBNMNOD_00693","FPOKCNBF_00308","JPMNGIHJ_01109","IENJPBOG_01145","EKEBIHOE_00376","KADELANJ_00290","NDKHHKNJ_01274","PDJHNNAA_00664","PHDCEHKO_00748","OOEMJHNJ_00863"
"group_1354","","putative glycosyltransferase","20","20","1","5","91","","","","779","779","779","BJDFHBJJ_00313","FHFNEIGL_00388","NPNHHEFA_00894","EKGGEFJM_00897","IPCEDBCE_00016","BPLIIOBE_00156","LAKMDKJD_00315","HCNCMENI_00311","ABPCLIDI_00209","DPDPODFO_00776","GEBNMNOD_01306","FPOKCNBF_00065","JPMNGIHJ_01036","IENJPBOG_01410","EKEBIHOE_01514","KADELANJ_01341","NDKHHKNJ_00899","PDJHNNAA_01501","PHDCEHKO_00472","OOEMJHNJ_01079"
"group_1355","","hypothetical protein","20","20","1","2","160","","","","401","401","401","BJDFHBJJ_01482","FHFNEIGL_01411","NPNHHEFA_01407","EKGGEFJM_01552","IPCEDBCE_01465","BPLIIOBE_01445","LAKMDKJD_01497","HCNCMENI_01423","ABPCLIDI_01543","DPDPODFO_01436","GEBNMNOD_01262","FPOKCNBF_00775","JPMNGIHJ_01405","IENJPBOG_01552","EKEBIHOE_01493","KADELANJ_00982","NDKHHKNJ_01330","PDJHNNAA_01536","PHDCEHKO_01230","OOEMJHNJ_01537"
"rsrIM","","Modification methylase RsrI","20","20","1","1","139","","","","863","863","863","BJDFHBJJ_00835","FHFNEIGL_00850","NPNHHEFA_00653","EKGGEFJM_00857","IPCEDBCE_01021","BPLIIOBE_01016","LAKMDKJD_00786","HCNCMENI_00946","ABPCLIDI_01042","DPDPODFO_00309","GEBNMNOD_01218","FPOKCNBF_01041","JPMNGIHJ_00247","IENJPBOG_00862","EKEBIHOE_01450","KADELANJ_00203","NDKHHKNJ_00625","PDJHNNAA_00105","PHDCEHKO_00894","OOEMJHNJ_01317"
"rpsO","","30S ribosomal protein S15","20","20","1","3","292","","","","272","272","272","BJDFHBJJ_00904","FHFNEIGL_00563","NPNHHEFA_00731","EKGGEFJM_00974","IPCEDBCE_00802","BPLIIOBE_00706","LAKMDKJD_00923","HCNCMENI_01025","ABPCLIDI_01328","DPDPODFO_01317","GEBNMNOD_00987","FPOKCNBF_01464","JPMNGIHJ_00824","IENJPBOG_01035","EKEBIHOE_01050","KADELANJ_00929","NDKHHKNJ_00529","PDJHNNAA_01424","PHDCEHKO_00205","OOEMJHNJ_01032"
"gatC","","Glutamyl-tRNA(Gln) amidotransferase subunit C","20","20","1","3","79","","","","281","281","281","BJDFHBJJ_00998","FHFNEIGL_00931","NPNHHEFA_00945","EKGGEFJM_01067","IPCEDBCE_01114","BPLIIOBE_01095","LAKMDKJD_01118","HCNCMENI_00484","ABPCLIDI_00619","DPDPODFO_00890","GEBNMNOD_01136","FPOKCNBF_00489","JPMNGIHJ_01186","IENJPBOG_01273","EKEBIHOE_00313","KADELANJ_00456","NDKHHKNJ_00392","PDJHNNAA_00952","PHDCEHKO_00042","OOEMJHNJ_01377"
"group_1359","","hypothetical protein","20","20","1","4","25","","","","215","215","215","BJDFHBJJ_00154","FHFNEIGL_00151","NPNHHEFA_00150","EKGGEFJM_00147","IPCEDBCE_00318","BPLIIOBE_00192","LAKMDKJD_00151","HCNCMENI_00149","ABPCLIDI_00250","DPDPODFO_00021","GEBNMNOD_00173","FPOKCNBF_00103","JPMNGIHJ_01457","IENJPBOG_01193","EKEBIHOE_00234","KADELANJ_00732","NDKHHKNJ_00827","PDJHNNAA_00892","PHDCEHKO_00122","OOEMJHNJ_00387"
"dprA","","DNA processing protein DprA","20","20","1","2","23","","","","800","800","800","BJDFHBJJ_01220","FHFNEIGL_01030","NPNHHEFA_01094","EKGGEFJM_01156","IPCEDBCE_01202","BPLIIOBE_01212","LAKMDKJD_01171","HCNCMENI_01140","ABPCLIDI_00554","DPDPODFO_01501","GEBNMNOD_00487","FPOKCNBF_01158","JPMNGIHJ_00974","IENJPBOG_00047","EKEBIHOE_00728","KADELANJ_00118","NDKHHKNJ_00291","PDJHNNAA_01319","PHDCEHKO_00366","OOEMJHNJ_00467"
"group_1361","","hypothetical protein","20","20","1","2","162","","","","1301","1301","1301","BJDFHBJJ_01481","FHFNEIGL_01410","NPNHHEFA_01406","EKGGEFJM_01551","IPCEDBCE_01466","BPLIIOBE_01446","LAKMDKJD_01496","HCNCMENI_01422","ABPCLIDI_01542","DPDPODFO_01437","GEBNMNOD_01263","FPOKCNBF_00774","JPMNGIHJ_01406","IENJPBOG_01551","EKEBIHOE_01492","KADELANJ_00983","NDKHHKNJ_01329","PDJHNNAA_01535","PHDCEHKO_01229","OOEMJHNJ_01538"
"speE","","Polyamine aminopropyltransferase","20","20","1","4","177","","","","788","788","788","BJDFHBJJ_00110","FHFNEIGL_00109","NPNHHEFA_00108","EKGGEFJM_00106","IPCEDBCE_00277","BPLIIOBE_00233","LAKMDKJD_00109","HCNCMENI_00108","ABPCLIDI_00821","DPDPODFO_00126","GEBNMNOD_00549","FPOKCNBF_00042","JPMNGIHJ_00216","IENJPBOG_00081","EKEBIHOE_01147","KADELANJ_01174","NDKHHKNJ_00257","PDJHNNAA_01134","PHDCEHKO_01107","OOEMJHNJ_01172"
"group_1363","","hypothetical protein","20","20","1","1","364","","","","191","191","191","BJDFHBJJ_01155","FHFNEIGL_00489","NPNHHEFA_01136","EKGGEFJM_01222","IPCEDBCE_01267","BPLIIOBE_01248","LAKMDKJD_01207","HCNCMENI_01208","ABPCLIDI_01251","DPDPODFO_01027","GEBNMNOD_01094","FPOKCNBF_00420","JPMNGIHJ_01270","IENJPBOG_01297","EKEBIHOE_00834","KADELANJ_00775","NDKHHKNJ_00423","PDJHNNAA_00420","PHDCEHKO_00431","OOEMJHNJ_01488"
"mmpA","","Metalloprotease MmpA","20","20","1","1","435","","","","1046","1046","1046","BJDFHBJJ_00464","FHFNEIGL_01486","NPNHHEFA_00353","EKGGEFJM_00545","IPCEDBCE_00716","BPLIIOBE_00622","LAKMDKJD_00558","HCNCMENI_00556","ABPCLIDI_00933","DPDPODFO_00392","GEBNMNOD_00689","FPOKCNBF_00304","JPMNGIHJ_01113","IENJPBOG_01141","EKEBIHOE_00372","KADELANJ_00286","NDKHHKNJ_01270","PDJHNNAA_00668","PHDCEHKO_00752","OOEMJHNJ_00859"
"lolC","","Lipoprotein-releasing system transmembrane protein LolC","20","20","1","4","127","","","","1232","1232","1232","BJDFHBJJ_00065","FHFNEIGL_00064","NPNHHEFA_00063","EKGGEFJM_00061","IPCEDBCE_00232","BPLIIOBE_00278","LAKMDKJD_00063","HCNCMENI_00063","ABPCLIDI_00898","DPDPODFO_00049","GEBNMNOD_00307","FPOKCNBF_00130","JPMNGIHJ_00937","IENJPBOG_00980","EKEBIHOE_00749","KADELANJ_00514","NDKHHKNJ_00212","PDJHNNAA_00204","PHDCEHKO_01402","OOEMJHNJ_00003"
"ansA","","putative L-asparaginase","20","20","1","2","66","","","","1046","1046","1046","BJDFHBJJ_01587","FHFNEIGL_01570","NPNHHEFA_01574","EKGGEFJM_01558","IPCEDBCE_01562","BPLIIOBE_01557","LAKMDKJD_01587","HCNCMENI_01579","ABPCLIDI_00992","DPDPODFO_01566","GEBNMNOD_01553","FPOKCNBF_01552","JPMNGIHJ_00697","IENJPBOG_01427","EKEBIHOE_01553","KADELANJ_01560","NDKHHKNJ_01548","PDJHNNAA_00597","PHDCEHKO_01231","OOEMJHNJ_01122"
"group_1367","","hypothetical protein","20","20","1","3","108","","","","290","290","290","BJDFHBJJ_00970","FHFNEIGL_00903","NPNHHEFA_00973","EKGGEFJM_01039","IPCEDBCE_01086","BPLIIOBE_01067","LAKMDKJD_01090","HCNCMENI_00456","ABPCLIDI_00647","DPDPODFO_00918","GEBNMNOD_01164","FPOKCNBF_00517","JPMNGIHJ_01214","IENJPBOG_01245","EKEBIHOE_00285","KADELANJ_00484","NDKHHKNJ_00364","PDJHNNAA_00980","PHDCEHKO_00070","OOEMJHNJ_01405"
"group_1368","","hypothetical protein","20","20","1","2","25","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","188","188","188","BJDFHBJJ_01218","FHFNEIGL_01032","NPNHHEFA_01092","EKGGEFJM_01158","IPCEDBCE_01204","BPLIIOBE_01210","LAKMDKJD_01169","HCNCMENI_01142","ABPCLIDI_00552","DPDPODFO_01503","GEBNMNOD_00489","FPOKCNBF_01160","JPMNGIHJ_00976","IENJPBOG_00045","EKEBIHOE_00726","KADELANJ_00120","NDKHHKNJ_00293","PDJHNNAA_01317","PHDCEHKO_00368","OOEMJHNJ_00469"
"rplP","","50S ribosomal protein L16","20","20","1","1","239","","","","425","425","425","BJDFHBJJ_00750","FHFNEIGL_01542","NPNHHEFA_00492","EKGGEFJM_00723","IPCEDBCE_00901","BPLIIOBE_00843","LAKMDKJD_00619","HCNCMENI_00781","ABPCLIDI_00069","DPDPODFO_01105","GEBNMNOD_00835","FPOKCNBF_01234","JPMNGIHJ_00086","IENJPBOG_00630","EKEBIHOE_00421","KADELANJ_01064","NDKHHKNJ_00984","PDJHNNAA_00793","PHDCEHKO_01133","OOEMJHNJ_00772"
"fliS","","Flagellar protein FliS","20","20","1","4","92","","","","380","380","380","BJDFHBJJ_00029","FHFNEIGL_00029","NPNHHEFA_00028","EKGGEFJM_00028","IPCEDBCE_00199","BPLIIOBE_00311","LAKMDKJD_00028","HCNCMENI_00029","ABPCLIDI_00865","DPDPODFO_00082","GEBNMNOD_00274","FPOKCNBF_00163","JPMNGIHJ_00904","IENJPBOG_00947","EKEBIHOE_00782","KADELANJ_00547","NDKHHKNJ_00179","PDJHNNAA_00171","PHDCEHKO_01435","OOEMJHNJ_00036"
"group_1371","","3',5'-cyclic-nucleotide phosphodiesterase","20","20","1","3","290","","","","1043","1043","1043","BJDFHBJJ_00906","FHFNEIGL_00561","NPNHHEFA_00729","EKGGEFJM_00976","IPCEDBCE_00800","BPLIIOBE_00704","LAKMDKJD_00925","HCNCMENI_01023","ABPCLIDI_01326","DPDPODFO_01319","GEBNMNOD_00989","FPOKCNBF_01462","JPMNGIHJ_00826","IENJPBOG_01033","EKEBIHOE_01048","KADELANJ_00931","NDKHHKNJ_00531","PDJHNNAA_01426","PHDCEHKO_00207","OOEMJHNJ_01030"
"htpX_1","","Protease HtpX","20","20","1","3","128","","","","932","932","932","BJDFHBJJ_00947","FHFNEIGL_00879","NPNHHEFA_00996","EKGGEFJM_01016","IPCEDBCE_01063","BPLIIOBE_01044","LAKMDKJD_01067","HCNCMENI_00433","ABPCLIDI_00670","DPDPODFO_00941","GEBNMNOD_01187","FPOKCNBF_00540","JPMNGIHJ_01237","IENJPBOG_01222","EKEBIHOE_00262","KADELANJ_00507","NDKHHKNJ_00341","PDJHNNAA_01003","PHDCEHKO_00093","OOEMJHNJ_01428"
"atoE","","Putative short-chain fatty acid transporter","20","20","1","2","96","","","","1364","1364","1364","BJDFHBJJ_00603","FHFNEIGL_00694","NPNHHEFA_00588","EKGGEFJM_00779","IPCEDBCE_00957","BPLIIOBE_00951","LAKMDKJD_01036","HCNCMENI_00880","ABPCLIDI_01398","DPDPODFO_01396","GEBNMNOD_00747","FPOKCNBF_00375","JPMNGIHJ_00726","IENJPBOG_00573","EKEBIHOE_01293","KADELANJ_01254","NDKHHKNJ_01020","PDJHNNAA_00362","PHDCEHKO_00555","OOEMJHNJ_01254"
"group_1374","","hypothetical protein","20","20","1","1","100","","","","878","878","878","BJDFHBJJ_00873","FHFNEIGL_00811","NPNHHEFA_00692","EKGGEFJM_00819","IPCEDBCE_01059","BPLIIOBE_00978","LAKMDKJD_00825","HCNCMENI_00985","ABPCLIDI_01080","DPDPODFO_00271","GEBNMNOD_01257","FPOKCNBF_01079","JPMNGIHJ_00285","IENJPBOG_00824","EKEBIHOE_01412","KADELANJ_00165","NDKHHKNJ_01519","PDJHNNAA_00143","PHDCEHKO_00932","OOEMJHNJ_01355"
"ftsK","","DNA translocase FtsK","20","20","1","5","132","","","","2426","2426","2426","BJDFHBJJ_00351","FHFNEIGL_00351","NPNHHEFA_00930","EKGGEFJM_00934","IPCEDBCE_00053","BPLIIOBE_00120","LAKMDKJD_00352","HCNCMENI_00347","ABPCLIDI_00172","DPDPODFO_00739","GEBNMNOD_01344","FPOKCNBF_01360","JPMNGIHJ_01073","IENJPBOG_00216","EKEBIHOE_00516","KADELANJ_01378","NDKHHKNJ_01388","PDJHNNAA_01264","PHDCEHKO_00510","OOEMJHNJ_00301"
"group_1376","","hypothetical protein","20","20","1","3","182","","","","779","779","779","BJDFHBJJ_01244","FHFNEIGL_01185","NPNHHEFA_01425","EKGGEFJM_01396","IPCEDBCE_01297","BPLIIOBE_01306","LAKMDKJD_01267","HCNCMENI_01430","ABPCLIDI_00999","DPDPODFO_00619","GEBNMNOD_01505","FPOKCNBF_01097","JPMNGIHJ_01481","IENJPBOG_01383","EKEBIHOE_01170","KADELANJ_01017","NDKHHKNJ_01451","PDJHNNAA_00861","PHDCEHKO_01297","OOEMJHNJ_01195"
"relA","","GTP pyrophosphokinase","20","20","1","4","116","","","","2327","2327","2327","BJDFHBJJ_00053","FHFNEIGL_00051","NPNHHEFA_00051","EKGGEFJM_00049","IPCEDBCE_00220","BPLIIOBE_00290","LAKMDKJD_00050","HCNCMENI_00051","ABPCLIDI_00886","DPDPODFO_00061","GEBNMNOD_00295","FPOKCNBF_00142","JPMNGIHJ_00925","IENJPBOG_00968","EKEBIHOE_00761","KADELANJ_00526","NDKHHKNJ_00200","PDJHNNAA_00192","PHDCEHKO_01414","OOEMJHNJ_00015"
"lpxK","","Tetraacyldisaccharide 4'-kinase","20","20","1","2","18","","","","938","938","938","BJDFHBJJ_01226","FHFNEIGL_01024","NPNHHEFA_01100","EKGGEFJM_01150","IPCEDBCE_01196","BPLIIOBE_01218","LAKMDKJD_01177","HCNCMENI_01134","ABPCLIDI_00560","DPDPODFO_01495","GEBNMNOD_00481","FPOKCNBF_01152","JPMNGIHJ_00968","IENJPBOG_00053","EKEBIHOE_00734","KADELANJ_00112","NDKHHKNJ_00285","PDJHNNAA_01325","PHDCEHKO_00360","OOEMJHNJ_00461"
"group_1379","","hypothetical protein","20","20","1","1","116","","","","296","296","296","BJDFHBJJ_00858","FHFNEIGL_00827","NPNHHEFA_00676","EKGGEFJM_00834","IPCEDBCE_01044","BPLIIOBE_00993","LAKMDKJD_00809","HCNCMENI_00969","ABPCLIDI_01065","DPDPODFO_00286","GEBNMNOD_01241","FPOKCNBF_01064","JPMNGIHJ_00270","IENJPBOG_00839","EKEBIHOE_01427","KADELANJ_00180","NDKHHKNJ_00648","PDJHNNAA_00128","PHDCEHKO_00917","OOEMJHNJ_01340"
"mltD","","Membrane-bound lytic murein transglycosylase D","20","20","1","5","43","","","","896","1124","1096","BJDFHBJJ_01048","FHFNEIGL_00981","NPNHHEFA_00797","EKGGEFJM_00318","IPCEDBCE_00137","BPLIIOBE_00036","LAKMDKJD_00856","HCNCMENI_01092","ABPCLIDI_00088","DPDPODFO_00655","GEBNMNOD_00015","FPOKCNBF_01518","JPMNGIHJ_01541","IENJPBOG_00133","EKEBIHOE_01236","KADELANJ_01297","NDKHHKNJ_00674","PDJHNNAA_01346","PHDCEHKO_01324","OOEMJHNJ_01450"
"group_1380","","hypothetical protein","20","20","1","1","634","","","","542","542","542","BJDFHBJJ_01438","FHFNEIGL_01369","NPNHHEFA_01365","EKGGEFJM_01365","IPCEDBCE_01451","BPLIIOBE_01431","LAKMDKJD_01433","HCNCMENI_01457","ABPCLIDI_01219","DPDPODFO_01187","GEBNMNOD_00130","FPOKCNBF_00661","JPMNGIHJ_01390","IENJPBOG_00906","EKEBIHOE_01213","KADELANJ_01506","NDKHHKNJ_01540","PDJHNNAA_01377","PHDCEHKO_00161","OOEMJHNJ_00077"
"tkt","","Transketolase","20","20","1","3","238","","","","1925","1925","1925","BJDFHBJJ_01509","FHFNEIGL_00512","NPNHHEFA_01454","EKGGEFJM_01467","IPCEDBCE_00752","BPLIIOBE_00658","LAKMDKJD_01464","HCNCMENI_01499","ABPCLIDI_01280","DPDPODFO_01365","GEBNMNOD_01035","FPOKCNBF_01416","JPMNGIHJ_00872","IENJPBOG_00987","EKEBIHOE_01002","KADELANJ_00977","NDKHHKNJ_00577","PDJHNNAA_01472","PHDCEHKO_00253","OOEMJHNJ_00984"
"group_1382","","hypothetical protein","20","20","1","1","664","","","","632","632","632","BJDFHBJJ_00572","FHFNEIGL_00608","NPNHHEFA_00399","EKGGEFJM_00592","IPCEDBCE_00583","BPLIIOBE_00751","LAKMDKJD_00484","HCNCMENI_00602","ABPCLIDI_00689","DPDPODFO_00808","GEBNMNOD_00101","FPOKCNBF_00632","JPMNGIHJ_00301","IENJPBOG_00320","EKEBIHOE_00163","KADELANJ_00373","NDKHHKNJ_00069","PDJHNNAA_00076","PHDCEHKO_00273","OOEMJHNJ_00960"
"group_1383","","RutC family protein","20","20","1","3","111","","","","377","377","377","BJDFHBJJ_00963","FHFNEIGL_00896","NPNHHEFA_00980","EKGGEFJM_01032","IPCEDBCE_01079","BPLIIOBE_01060","LAKMDKJD_01083","HCNCMENI_00449","ABPCLIDI_00654","DPDPODFO_00925","GEBNMNOD_01171","FPOKCNBF_00524","JPMNGIHJ_01221","IENJPBOG_01238","EKEBIHOE_00278","KADELANJ_00491","NDKHHKNJ_00357","PDJHNNAA_00987","PHDCEHKO_00077","OOEMJHNJ_01412"
"waaA","","3-deoxy-D-manno-octulosonic acid transferase","20","20","1","3","98","","","","1154","1154","1154","BJDFHBJJ_00980","FHFNEIGL_00913","NPNHHEFA_00963","EKGGEFJM_01049","IPCEDBCE_01096","BPLIIOBE_01077","LAKMDKJD_01100","HCNCMENI_00466","ABPCLIDI_00637","DPDPODFO_00908","GEBNMNOD_01154","FPOKCNBF_00507","JPMNGIHJ_01204","IENJPBOG_01255","EKEBIHOE_00295","KADELANJ_00474","NDKHHKNJ_00374","PDJHNNAA_00970","PHDCEHKO_00060","OOEMJHNJ_01395"
"group_1385","","hypothetical protein","20","20","1","1","676","","","","746","746","746","BJDFHBJJ_00560","FHFNEIGL_00620","NPNHHEFA_00411","EKGGEFJM_00604","IPCEDBCE_00595","BPLIIOBE_00763","LAKMDKJD_00471","HCNCMENI_00614","ABPCLIDI_00701","DPDPODFO_00820","GEBNMNOD_00089","FPOKCNBF_00620","JPMNGIHJ_00313","IENJPBOG_00308","EKEBIHOE_00151","KADELANJ_00385","NDKHHKNJ_00081","PDJHNNAA_00064","PHDCEHKO_00285","OOEMJHNJ_00972"
"group_1386","","hypothetical protein","20","20","1","1","249","","","","578","578","578","BJDFHBJJ_00740","FHFNEIGL_01545","NPNHHEFA_00482","EKGGEFJM_00733","IPCEDBCE_00911","BPLIIOBE_00833","LAKMDKJD_00609","HCNCMENI_00771","ABPCLIDI_01490","DPDPODFO_01095","GEBNMNOD_00825","FPOKCNBF_01224","JPMNGIHJ_00076","IENJPBOG_00620","EKEBIHOE_00431","KADELANJ_01054","NDKHHKNJ_01511","PDJHNNAA_01009","PHDCEHKO_00848","OOEMJHNJ_00782"
"gtaB","","UTP--glucose-1-phosphate uridylyltransferase","20","20","1","2","383","","","","821","821","821","BJDFHBJJ_00292","FHFNEIGL_00170","NPNHHEFA_00290","EKGGEFJM_00172","IPCEDBCE_00344","BPLIIOBE_00344","LAKMDKJD_00294","HCNCMENI_00174","ABPCLIDI_01449","DPDPODFO_00428","GEBNMNOD_00314","FPOKCNBF_00780","JPMNGIHJ_00382","IENJPBOG_00818","EKEBIHOE_00676","KADELANJ_00695","NDKHHKNJ_00802","PDJHNNAA_00332","PHDCEHKO_00599","OOEMJHNJ_00152"
"hemA","","Glutamyl-tRNA reductase","20","20","1","1","416","","","","1349","1349","1349","BJDFHBJJ_00484","FHFNEIGL_01424","NPNHHEFA_00372","EKGGEFJM_00564","IPCEDBCE_00735","BPLIIOBE_00641","LAKMDKJD_00577","HCNCMENI_00575","ABPCLIDI_00914","DPDPODFO_00411","GEBNMNOD_00708","FPOKCNBF_00323","JPMNGIHJ_01094","IENJPBOG_01160","EKEBIHOE_00391","KADELANJ_00305","NDKHHKNJ_01289","PDJHNNAA_00649","PHDCEHKO_00733","OOEMJHNJ_00878"
"pdxA","","4-hydroxythreonine-4-phosphate dehydrogenase","20","20","1","5","54","","","","923","923","923","BJDFHBJJ_01060","FHFNEIGL_00993","NPNHHEFA_00808","EKGGEFJM_00329","IPCEDBCE_00126","BPLIIOBE_00047","LAKMDKJD_00845","HCNCMENI_01103","ABPCLIDI_00099","DPDPODFO_00666","GEBNMNOD_00004","FPOKCNBF_01507","JPMNGIHJ_01552","IENJPBOG_00144","EKEBIHOE_01247","KADELANJ_01286","NDKHHKNJ_00663","PDJHNNAA_01357","PHDCEHKO_01335","OOEMJHNJ_01439"
"ispB","","Octaprenyl diphosphate synthase","20","20","1","1","417","","","","923","923","923","BJDFHBJJ_00483","FHFNEIGL_01425","NPNHHEFA_00371","EKGGEFJM_00563","IPCEDBCE_00734","BPLIIOBE_00640","LAKMDKJD_00576","HCNCMENI_00574","ABPCLIDI_00915","DPDPODFO_00410","GEBNMNOD_00707","FPOKCNBF_00322","JPMNGIHJ_01095","IENJPBOG_01159","EKEBIHOE_00390","KADELANJ_00304","NDKHHKNJ_01288","PDJHNNAA_00650","PHDCEHKO_00734","OOEMJHNJ_00877"
